,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff
4180,WASP-2 b,502,0.931 Jupiters,11.88,2007,TOI-178 d,TOI-178,1,6.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,6.5577,1.6e-05,-1.6e-05,0.0,0.0592,0.0018,-0.0018,0.0,2.572,0.075,-0.078,0.0,0.229,0.007,-0.007,0.0,3.01,0.8,-1.03,0,0.00947,0.00252,-0.00324,0.0,Mass,,,,,48.71,,,,690,14.0,-14.0,0.0,0,K,4316.0
4181,WASP-31 b,1174,0.478 Jupiters,11.7,2010,TOI-178 e,TOI-178,1,6.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,9.961881,4.2e-05,-4.2e-05,0.0,0.0783,0.0023,-0.0024,0.0,2.207,0.088,-0.09,0.0,0.197,0.008,-0.008,0.0,3.86,1.25,-0.94,0,0.01214,0.00393,-0.00296,0.0,Mass,,,,,20.54,,,,600,12.0,-12.0,0.0,0,K,4316.0
4182,WASP-32 b,907,2.63 Jupiters,11.3,2010,TOI-178 f,TOI-178,1,6.0,Transit,2021.0,Multiple Observatories,0.0,15.231915,0.000115,-9.5e-05,0.0,0.1039,0.0031,-0.0031,0.0,2.287,0.108,-0.11,0.0,0.204,0.01,-0.01,0.0,7.72,1.67,-1.52,0,0.02429,0.00525,-0.00478,0.0,Mass,,,,,,,,,521,11.0,-11.0,0.0,0,K,4316.0
4183,WASP-33 b,399,2.093 Jupiters,8.142,2010,TOI-178 g,TOI-178,1,6.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,20.7095,0.00014,-0.00011,0.0,0.1275,0.0038,-0.0039,0.0,2.87,0.14,-0.13,0.0,0.256,0.012,-0.012,0.0,3.94,1.31,-1.62,0,0.0124,0.00412,-0.0051,0.0,Mass,,,,,19.5,,,,470,10.0,-10.0,0.0,0,K,4316.0
4184,WASP-34 b,433,0.56 Jupiters,10.4,2010,TOI-1807 b,TOI-1807,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,0.549372,7e-06,-7e-06,0.0,0.00812,0.00037,-0.00038,0.0,1.849,0.042,-0.043,0.0,0.165,0.004,-0.004,0.0,4.08,,,0,0.0128,,,0.0,M-R relationship,,,,,1592.92,,,,2100,39.0,-40.0,0.0,0,,4757.0
4185,WASP-35 b,663,0.71 Jupiters,11.01,2011,TOI-1899 b,TOI-1899,1,1.0,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),0.0,29.02,0.36,-0.23,0.0,0.1587,0.0067,-0.0075,0.0,12.89,0.448,-0.56,0.0,1.15,0.04,-0.05,0.0,209.7678,22.2481,-22.2481,0,0.66,0.07,-0.07,0.0,Mass,0.118,0.073,-0.077,0.0,2.9,0.2,-0.2,0.0,362,7.0,-7.0,0.0,0,M0,3841.0
4186,WASP-36 b,1274,2.361 Jupiters,12.628,2011,TOI-201 b,TOI-201,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,52.97818,4e-05,-4e-05,0.0,0.3,0.02,-0.03,0.0,11.299,0.135,-0.168,0.0,1.008,0.012,-0.015,0.0,133.4886,15.8915,-9.5349,0,0.42,0.05,-0.03,0.0,Mass,0.28,0.06,-0.09,0.0,7.86,,,,759,37.0,-26.0,0.0,0,F6 V,6394.0
4187,WASP-37 b,1119,1.8 Jupiters,12.704,2010,TOI-2076 b,TOI-2076,1,3.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,10.35566,6e-06,-6e-06,0.0,0.0631,0.0027,-0.0027,0.0,3.282,0.042,-0.043,0.0,0.293,0.004,-0.004,0.0,10.8,,,0,0.034,,,0.0,M-R relationship,,,,,48.12,,,,870,13.0,-13.0,0.0,0,K,5187.0
4188,WASP-38 b,446,3.44 Jupiters,9.447,2010,TOI-2076 c,TOI-2076,1,3.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,,,,,0.0885,0.0038,-0.0038,0.0,4.438,0.046,-0.046,0.0,0.396,0.004,-0.004,0.0,18.0,,,0,0.0567,,,0.0,M-R relationship,,,,,,,,,734,11.0,-11.0,0.0,0,K,5187.0
4189,WASP-39 b,750,0.28 Jupiters,12.11,2011,TOI-2076 d,TOI-2076,1,3.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,,,,,0.1138,0.0048,-0.0049,0.0,4.14,0.07,-0.07,0.0,0.369,0.006,-0.006,0.0,16.0,,,0,0.0504,,,0.0,M-R relationship,,,,,,,,,648,10.0,-10.0,0.0,0,K,5187.0
4190,WASP-3 b,759,2.43 Jupiters,10.5,2007,TOI-216.01,TOI-216,1,2.0,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),0.0,34.556,0.014,-0.01,0.0,0.2069,0.0107,-0.0082,0.0,11.29,0.58,-0.42,0.0,1.007,0.052,-0.037,0.0,200.0,170.0,-100.0,0,0.62927,0.53488,-0.31463,0.0,Mass,0.029,0.037,-0.02,0.0,10.1,0.85,-0.66,0.0,497,10.0,-8.0,0.0,1,,5026.0
